C         	24/09/2018	21:48:13	 72754.740	452700.038	   4.680	0.01	0.01
B         	24/09/2018	21:49:59	 72754.736	452700.048	   4.677	0.01	0.02
A         	24/09/2018	21:50:34	 72759.930	452722.263	   4.620	0.01	0.02
L2         	24/09/2018	21:51:16	 72754.954	452719.495	   4.700	0.01	0.02
L1        	24/09/2018	21:52:10	 72738.853	452705.278	   4.651	0.01	0.02
PRES-S-01    	24/09/2018	22:08:45	 72709.134	452738.954	   2.549	0.01	0.01
PRES-S000    	24/09/2018	22:09:06	 72709.612	452738.753	   1.062	0.06	0.09
PRES-S002    	24/09/2018	22:09:44	 72709.125	452738.950	   2.556	0.01	0.01
PRES-S003    	24/09/2018	22:10:32	 72700.148	452748.661	   0.366	0.01	0.02
PRES-S004    	24/09/2018	22:10:42	 72700.689	452749.109	   0.386	0.05	0.02


% Ref. C is not correct 
% Press. measurement notes:
% PRES-S-01: ?
% PRES-S002: ?
% PRES-S003: ?
% PRES-S004: ?
% PRES-S005: ?
