MF-B001   	26/09/2018	13:21:01	 72728.799	452692.462	   3.323	0.01	0.02
MF-B002   	26/09/2018	13:21:02	 72728.798	452692.457	   3.321	0.01	0.02
MF-B003   	26/09/2018	13:21:03	 72728.800	452692.457	   3.327	0.01	0.02
MF-B004   	26/09/2018	13:21:04	 72728.800	452692.452	   3.325	0.01	0.02
MF-B005   	26/09/2018	13:21:05	 72728.798	452692.461	   3.330	0.01	0.02
MF-AA001  	26/09/2018	13:22:53	 72728.791	452692.460	   3.347	0.02	0.02
MF-B001   	26/09/2018	13:25:51	 72717.676	452743.094	   1.726	0.01	0.02
A     	26/09/2018	13:28:12	 72759.900	452722.165	   4.661	0.03	0.04
BII    	26/09/2018	13:30:42	 72754.730	452700.049	   4.687	0.01	0.02
BI     	26/09/2018	13:32:06	 72754.687	452699.997	   4.675	0.02	0.02
C      	26/09/2018	13:34:54	 72733.204	452699.093	   4.978	0.02	0.02
