// X, Y, Z, Reflectivity (A)
72726.68857193,452774.69262695,-0.00084496,-1958.000000
72726.44561958,452774.05274200,-0.00037003,-1971.000000
72723.51949310,452770.64913940,-0.00068521,-1959.000000
72723.07244492,452769.99991608,-0.00056219,-1942.000000
72720.89374924,452767.34467316,-0.00075769,-1959.000000
72718.87893105,452765.21511078,-0.00034428,-1972.000000
72717.91357803,452763.92246628,-0.00102997,-1974.000000
72716.33211899,452761.89535904,-0.00046062,-1978.000000
72715.68508911,452761.16728592,-0.00016785,-1979.000000
72713.35048294,452758.77467346,-0.00088072,-1960.000000
72711.11508942,452755.84245682,-0.00090265,-1958.000000
72709.47431183,452754.02611160,-0.00040007,-1940.000000
72708.13516617,452752.75769806,-0.00036478,-1935.000000
72707.10722923,452751.63172531,-0.00011492,-1956.000000
72706.22319412,452750.57630539,-0.00048065,-1931.000000
72704.48445892,452748.83835602,-0.00044203,-1920.000000
72703.15386200,452747.29927063,-0.00076675,-1909.000000
72703.31629562,452747.42688370,-0.00044632,-1922.000000
72701.42737198,452745.31248856,-0.00061131,-1923.000000
72698.60251236,452742.00962067,-0.00055552,-1869.000000
72698.41996765,452741.80671310,-0.00082397,-1881.000000
72696.90832901,452740.09858322,-0.00094700,-1961.000000
72696.71093369,452739.86356735,-0.00070190,-1937.000000
72696.58850479,452739.70048141,-0.00005341,-1930.000000
72693.98124695,452736.97178268,-0.00091076,-1941.000000
72693.86564255,452736.80103302,-0.00026274,-1935.000000
72692.31605530,452735.18718338,-0.00089598,-1940.000000
72689.83840561,452732.53506470,-0.00089884,-1917.000000
72690.56169891,452733.04849625,-0.00064754,-1913.000000
72689.02815247,452731.85583115,-0.00101137,-1935.000000
72686.88584518,452729.31165695,-0.00031042,-1932.000000
72684.41626740,452726.63403320,-0.00030565,-1934.000000
72682.94187164,452725.10424423,-0.00103045,-1945.000000
72681.49874878,452723.50240326,-0.00027323,-1965.000000
72678.80421829,452720.62461281,-0.00051212,-1983.000000
72677.41926193,452718.87011337,-0.00020647,-1989.000000
72673.69498825,452715.14498806,-0.00081968,-1945.000000
72671.90069962,452713.84065056,-0.00095844,-1978.000000
