//X Y Z Scalar_field
50032
-0.34233099 149.46380615 0.49585342 -1938.000000
7.66130924 135.43775940 0.88026905 -2013.000000
21.19639969 122.29632568 1.10057116 -2029.000000
21.21407700 122.26827240 1.09813499 -2024.000000
26.67098999 116.98816681 1.18314743 -2038.000000
26.66128922 116.99077606 1.18119001 -2030.000000
26.66048431 116.99836731 1.18509626 -2039.000000
26.74323654 116.91117859 1.18659115 -2035.000000
26.74264526 116.90425873 1.18170786 -2030.000000
26.76985550 116.88529968 1.19001913 -2037.000000
26.71252441 116.93351746 1.18267393 -2031.000000
26.70051575 116.95267487 1.18315744 -2036.000000
26.72793961 116.91854858 1.18219042 -2029.000000
26.72432709 116.92954254 1.18560743 -2036.000000
26.69830704 116.96162415 1.18706369 -2038.000000
26.69361496 116.95188904 1.18217754 -2033.000000
26.68404770 116.96866608 1.18315172 -2035.000000
26.67365646 116.97128296 1.18070650 -2032.000000
24.38238144 119.20330048 1.13982582 -2035.000000
21.14385986 122.34737396 1.10396862 -2022.000000
21.14246750 122.34872437 1.09566832 -2014.000000
7.59616089 135.50103760 0.89880037 -1931.000000
7.61647892 135.48129272 0.88806581 -2000.000000
13.37621498 129.88926697 1.06254292 -1922.000000
13.39267349 129.87329102 1.05424833 -1907.000000
14.85492706 128.45350647 0.92636824 -1983.000000
14.76269913 128.52812195 0.90045452 -2004.000000
14.93969154 128.37117004 0.91028547 -2015.000000
14.91797924 128.39225769 0.89562893 -2015.000000
14.86613655 128.44262695 0.91807127 -2005.000000
14.88260555 128.42663574 0.91075325 -2021.000000
14.75008774 128.54039001 0.90874958 -2004.000000
14.70035362 128.58869934 0.91068554 -1982.000000
14.83599377 128.47187805 0.97665310 -2029.000000
14.84932137 128.45896912 0.93613100 -2018.000000
14.83985901 128.46813965 0.94540453 -2029.000000
14.83985519 128.46813965 0.95565844 -2029.000000
14.79396439 128.51271057 0.97956800 -2021.000000
14.74493217 128.56033325 0.98150253 -2010.000000
14.69134903 128.61239624 0.98246002 -1961.000000
14.67768478 128.62565613 0.99075603 -1933.000000
14.65832424 128.62953186 0.91359901 -2012.000000
14.65841866 128.64437866 0.99807262 -2009.000000
14.59246540 128.69349670 0.94433689 -2026.000000
14.63459969 128.66751099 1.00441217 -2023.000000
14.60902786 128.69235229 1.02149153 -1982.000000
14.61358452 128.68792725 1.01172876 -2004.000000
14.55322456 128.73159790 0.99119711 -2012.000000
14.57144165 128.71389771 0.97313833 -2020.000000
14.57110596 128.71424866 0.95165300 -2017.000000
14.55708981 128.72785950 0.95994854 -1993.000000
14.55708218 128.72785950 0.98143244 -2023.000000
14.49998951 128.78330994 0.99264288 -2014.000000
14.55929375 128.74066162 1.02342653 -1993.000000
13.41054344 129.85594177 1.04595518 -1958.000000
14.09896374 129.17219543 1.04229975 -2025.000000
14.29135132 129.00094604 1.06336832 -1983.000000
14.48142433 128.80134583 1.00044775 -2014.000000
14.41535282 128.88050842 1.00872564 -1995.000000
14.36271095 128.91598511 0.99015045 -2009.000000
14.36421394 128.93016052 1.03263283 -1953.000000
14.39083862 128.90431213 1.01555252 -1986.000000
14.35674477 128.92178345 1.01065636 -2025.000000
14.35780525 128.92076111 0.99991465 -2020.000000
14.37717438 128.91758728 1.02384853 -1973.000000
14.33723354 128.95635986 1.04922390 -1942.000000
14.35579872 128.93833923 1.04190683 -1939.000000
14.32672691 128.96659851 1.05849838 -1961.000000
14.09908867 129.18772888 1.04083681 -1968.000000
14.07106018 129.21493530 1.04717302 -1945.000000
14.02261734 129.24636841 1.04031849 -1999.000000
14.03498745 129.24998474 1.05155468 -1973.000000
13.85848808 129.42079163 1.03244686 -1975.000000
13.79089069 129.48643494 1.04316425 -1972.000000
13.81926727 129.45887756 1.03682661 -1943.000000
13.34003830 129.90878296 1.01272488 -2023.000000
13.74666214 129.51376343 1.00359631 -2010.000000
13.71209335 129.56298828 1.04069471 -2001.000000
13.69247723 129.58204651 1.04849958 -1966.000000
13.59712410 129.65904236 0.98889303 -1947.000000
13.65955544 129.61402893 1.05434608 -1965.000000
13.58345413 129.67233276 0.99767733 -1939.000000
13.59441471 129.67730713 1.05432224 -1989.000000
13.56453800 129.69068909 1.00597143 -1962.000000
13.54317474 129.71144104 1.01328754 -1962.000000
13.53756523 129.71688843 1.02353907 -2000.000000
13.47627544 129.77642822 1.02449274 -2012.000000
13.45116997 129.81646729 1.04157495 -1991.000000
13.25118732 130.01074219 1.05322027 -1984.000000
13.12747097 130.11460876 0.98823309 -2008.000000
13.07598782 130.16461182 0.99114323 -1947.000000
13.07012177 130.18664551 1.03459883 -1996.000000
10.48575687 132.67825317 0.93306303 -1974.000000
11.87997818 131.32514954 0.99314594 -1981.000000
12.66141891 130.58367920 1.01296473 -1896.000000
13.05321980 130.18673706 0.99894810 -1971.000000
12.87635708 130.35855103 0.99204636 -1961.000000
12.90682793 130.32896423 0.98571014 -1986.000000
12.84238338 130.39155579 0.99789333 -1960.000000
12.85264492 130.39791870 1.00961685 -2001.000000
12.78950214 130.44224548 1.01252270 -1951.000000
12.81436825 130.41807556 1.00471926 -1938.000000
12.76754093 130.48059082 1.00714397 -2004.000000
12.69599056 130.53309631 1.02030039 -1941.000000
12.73381233 130.49633789 1.01494360 -1988.000000
12.70309544 130.54319763 1.00809717 -1950.000000
12.61368275 130.61303711 1.01831722 -1972.000000
12.64390469 130.60070801 1.02174711 -1959.000000
12.59346771 130.64970398 1.02514696 -2009.000000
12.47920132 130.74368286 1.00801420 -1971.000000
12.48736763 130.75209045 1.01973677 -2012.000000
12.45888805 130.76342773 1.01630735 -1996.000000
12.46634388 130.77249146 1.02754116 -1996.000000
12.42281246 130.79846191 1.02215338 -2006.000000
12.35357666 130.88206482 1.02115297 -2012.000000
11.77350521 131.42857361 0.98822355 -2014.000000
12.24805164 130.96823120 1.00548840 -1992.000000
12.23800087 130.99433899 1.01427460 -1995.000000
10.39119816 132.77008057 0.93058729 -2007.000000
11.24057961 131.96333313 0.93822432 -2002.000000
11.60411930 131.61016846 0.94763470 -2000.000000
11.57319546 131.62249756 0.96813011 -2027.000000
11.57574272 131.63774109 0.95543718 -1993.000000
11.46682739 131.74354553 0.95002604 -2006.000000
11.37776756 131.81234741 0.96122217 -2006.000000
11.32278061 131.86578369 0.97682714 -1957.000000
11.34205055 131.84704590 0.96804523 -1964.000000
11.34319496 131.86364746 0.94265699 -2016.000000
11.26043224 131.92631531 0.99145317 -1985.000000
11.30421543 131.88378906 0.98609877 -1961.000000
11.19224548 132.01028442 0.94308949 -1991.000000
11.08812332 132.09371948 0.97674084 -1984.000000
11.10119724 132.09806824 0.94061518 -1998.000000
10.99181557 132.18727112 0.97426462 -2005.000000
11.01468945 132.18209839 0.93960619 -1941.000000
10.53873348 132.64448547 0.93991995 -2000.000000
10.89317036 132.30015564 0.93272543 -1958.000000
10.82311344 132.36819458 0.94637156 -1958.000000
10.85464001 132.33758545 0.93905973 -1947.000000
10.80410671 132.36897278 0.95710611 -2019.000000
10.76146889 132.42807007 0.94927931 -1990.000000
10.56000805 132.60610962 0.93162537 -2004.000000
10.68301868 132.50428772 0.94973850 -2008.000000
10.48444366 132.69720459 0.94380569 -1956.000000
10.45817089 132.72271729 0.95209694 -1900.000000
10.24447060 132.91195679 0.92076731 -2014.000000
10.32404804 132.85234070 0.94423532 -2003.000000
10.21302605 132.96020508 0.93980026 -1991.000000
7.58178949 135.51498413 0.91051388 -1931.000000
7.52155542 135.57348633 0.91586304 -2013.000000
9.07822323 134.04354858 0.93889427 -1931.000000
9.78750515 133.37356567 0.92646074 -1986.000000
10.14395046 133.00959778 0.91828918 -2002.000000
10.04693890 133.10386658 0.91581202 -1968.000000
10.10235882 133.06770325 0.93585348 -1999.000000
10.00140858 133.14807129 0.92165518 -1972.000000
9.94931507 133.21638489 0.92505503 -2009.000000
9.87883282 133.26716614 0.91575003 -1998.000000
9.85194778 133.31098938 0.92306662 -1990.000000
9.70688343 133.43353271 0.90250397 -1990.000000
9.68524361 133.47293091 0.92349291 -1994.000000
9.63403416 133.50430298 0.90443039 -1978.000000
9.63410282 133.52259827 0.92884541 -1978.000000
9.59830570 133.53901672 0.91222906 -1989.000000
9.47467136 133.65910339 0.91950893 -1973.000000
9.50374317 133.63085938 0.91073084 -1989.000000
9.49857426 133.65426636 0.92147160 -1966.000000
9.44288063 133.70837402 0.92584515 -1946.000000
9.35251808 133.79614258 0.92581177 -1989.000000
9.29081249 133.83772278 0.91797638 -1945.000000
9.31566906 133.81358337 0.90870857 -1996.000000
9.26838493 133.85951233 0.92724514 -1988.000000
9.27967548 133.86691284 0.92773819 -1980.000000
9.21347904 133.93121338 0.93113184 -1988.000000
9.18993187 133.93571472 0.92868137 -1980.000000
9.13040161 133.99285889 0.93305445 -1984.000000
9.17565536 133.96797180 0.93844318 -1916.000000
9.13607407 134.00640869 0.94624090 -1968.000000
7.45393515 135.61949158 0.82452774 -1943.000000
8.15336227 134.96041870 0.89607477 -2001.000000
8.07315922 135.03833008 0.89848709 -2014.000000
7.44061899 135.63241577 0.83673000 -1961.000000
7.74082136 135.36051941 0.86418533 -2005.000000
7.72855616 135.37243652 0.87638807 -1970.000000
6.20227146 136.83410645 0.74643230 -1997.000000
6.17114687 136.88475037 0.75472212 -1955.000000
6.86383533 136.19210815 0.76864719 -1976.000000
6.29262209 136.74632263 0.74451256 -1879.000000
6.32030249 136.71945190 0.72010851 -1970.000000
6.31119585 136.72828674 0.73280001 -1902.000000
-0.24764591 149.38470459 0.57987309 -1903.000000
22.07044220 127.34453583 1.18716621 -2014.000000
22.08270264 127.28565216 1.16812515 -2016.000000
25.69964218 119.56629181 1.13600922 -2027.000000
25.75528717 119.82538605 1.13507032 -2020.000000
27.45633316 118.50643921 1.17331219 -1962.000000
27.19450760 116.81860352 1.18775272 -2027.000000
27.44159698 116.54248810 1.18881845 -2040.000000
27.43553543 116.55586243 1.18491030 -2040.000000
27.46128082 116.49476624 1.19028902 -2035.000000
27.44776154 116.52219391 1.18784285 -2039.000000
27.44739151 116.45174408 1.20053434 -2024.000000
27.44630814 116.43170929 1.19858027 -2031.000000
27.45451355 116.43734741 1.19907188 -2031.000000
27.44690704 116.43794250 1.19760370 -2033.000000
27.44248581 116.45651245 1.20443916 -2026.000000
27.43465042 116.44983673 1.19857645 -2021.000000
27.43089294 116.44668579 1.19857454 -2023.000000
27.43768692 116.45438385 1.20394897 -2035.000000
27.43979263 116.45233154 1.19906664 -2026.000000
27.43184280 116.45256805 1.20296955 -2027.000000
27.43789291 116.43988037 1.20638943 -2032.000000
27.46190643 116.45127106 1.19809866 -2038.000000
27.46249771 116.45818329 1.19663572 -2034.000000
27.46860123 116.46586609 1.19663858 -2034.000000
27.47655869 116.46494293 1.19273472 -2036.000000
27.46860123 116.46586609 1.19126654 -2040.000000
27.46379471 116.46372986 1.19614744 -2039.000000
27.47024918 116.47107697 1.19566250 -2036.000000
27.45338821 116.46703339 1.19907331 -2031.000000
27.44624710 116.45967865 1.19906950 -2031.000000
27.44928360 116.46421051 1.19858360 -2033.000000
27.44203949 116.46376038 1.20297432 -2024.000000
27.46078873 116.48094940 1.19761229 -2034.000000
27.45188904 116.47529602 1.19711971 -2032.000000
27.45634079 116.47778320 1.19760990 -2031.000000
27.44227600 116.47101593 1.20688057 -2035.000000
27.47890091 116.47016907 1.19761944 -2035.000000
